impath,mos,label,classname
/hd2/wangzichuan/AGIN/images/real_98.png,4.67,5,perfect
/hd2/wangzichuan/AGIN/images/OpenJ_coco_350.png,4.28,4,good
/hd2/wangzichuan/AGIN/images/RABIT_165_0_pre.png,2.44,2,poor
/hd2/wangzichuan/AGIN/images/OpenJ_DB_126.png,3.83,4,good
/hd2/wangzichuan/AGIN/images/Pix2Pix_13.png,3.94,4,good
/hd2/wangzichuan/AGIN/images/Pix2Pix_96.png,2.83,3,average
/hd2/wangzichuan/AGIN/images/OpenJ_coco_281.png,3.22,3,average
/hd2/wangzichuan/AGIN/images/Dreaml_real_fruits_prompt7.png,3.78,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_real_vehicles_prompt9.png,3.5,4,good
/hd2/wangzichuan/AGIN/images/RealV_real_vehicles_prompt5.png,4.67,5,perfect
/hd2/wangzichuan/AGIN/images/MagicBrush_4654.png,4.28,4,good
/hd2/wangzichuan/AGIN/images/MagicBrush_6953.png,3.0,3,average
/hd2/wangzichuan/AGIN/images/Dreaml_real_artifacts_prompt6.png,4.78,5,perfect
/hd2/wangzichuan/AGIN/images/DDCOLOR_544.png,4.56,5,perfect
/hd2/wangzichuan/AGIN/images/SD21_real_168.png,3.06,3,average
/hd2/wangzichuan/AGIN/images/MAT_496.png,3.89,4,good
/hd2/wangzichuan/AGIN/images/MATEBIT_17681.png,4.22,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_coco_444.png,3.22,3,average
/hd2/wangzichuan/AGIN/images/DiffuseIT_1_19_i_0_b_0.png,3.5,4,good
/hd2/wangzichuan/AGIN/images/SD15_real_fruits_prompt9.png,4.72,5,perfect
/hd2/wangzichuan/AGIN/images/RABIT_3_3_pre.png,2.28,2,poor
/hd2/wangzichuan/AGIN/images/RABIT_222_3_pre.png,2.72,3,average
/hd2/wangzichuan/AGIN/images/RABIT_207_2_pre.png,2.56,3,average
/hd2/wangzichuan/AGIN/images/RABIT_13_3_pre.png,2.17,2,poor
/hd2/wangzichuan/AGIN/images/PDNLA_18.png,2.56,3,average
/hd2/wangzichuan/AGIN/images/DDCOLOR_218.png,4.17,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_DB_33.png,2.83,3,average
/hd2/wangzichuan/AGIN/images/real_176.png,4.94,5,perfect
/hd2/wangzichuan/AGIN/images/RealV_real_food_prompt2.png,3.94,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_real_fruits_prompt6.png,4.72,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_7_long_hair.png,4.89,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_56_happy.png,4.78,5,perfect
/hd2/wangzichuan/AGIN/images/MAT_637.png,4.44,4,good
/hd2/wangzichuan/AGIN/images/MagicBrush_3225.png,2.5,3,average
/hd2/wangzichuan/AGIN/images/Disentangled_331.png,3.33,3,average
/hd2/wangzichuan/AGIN/images/SD15_real_clothing_prompt10.png,2.94,3,average
/hd2/wangzichuan/AGIN/images/DiffuseIT_11_45_i_0_b_0.png,3.06,3,average
/hd2/wangzichuan/AGIN/images/Dreaml_real_nature_prompt6.png,3.44,3,average
/hd2/wangzichuan/AGIN/images/RealV_real_human_face_prompt6.png,4.22,4,good
/hd2/wangzichuan/AGIN/images/RealV_DB_103.png,4.61,5,perfect
/hd2/wangzichuan/AGIN/images/PDNLA_15.png,4.5,5,perfect
/hd2/wangzichuan/AGIN/images/MAT_51.png,3.39,3,average
/hd2/wangzichuan/AGIN/images/MAT_10.png,4.67,5,perfect
/hd2/wangzichuan/AGIN/images/DiffuseIT_yichang_hd_mountain_i_0_b_0.png,2.06,2,poor
/hd2/wangzichuan/AGIN/images/RealV_real_festival_prompt6.png,2.83,3,average
/hd2/wangzichuan/AGIN/images/RealV_DB_63.png,4.06,4,good
/hd2/wangzichuan/AGIN/images/CoCosNet_42.png,3.39,3,average
/hd2/wangzichuan/AGIN/images/DragDAN_11.png,3.89,4,good
/hd2/wangzichuan/AGIN/images/DragDAN_19.png,4.67,5,perfect
/hd2/wangzichuan/AGIN/images/MAT_374.png,4.28,4,good
/hd2/wangzichuan/AGIN/images/MAT_683.png,3.67,4,good
/hd2/wangzichuan/AGIN/images/MAT_387.png,4.28,4,good
/hd2/wangzichuan/AGIN/images/SD15_real_drinks_prompt9.png,4.39,4,good
/hd2/wangzichuan/AGIN/images/MAT_119.png,3.33,3,average
/hd2/wangzichuan/AGIN/images/Disentangled_221.png,4.33,4,good
/hd2/wangzichuan/AGIN/images/StyleCLIP_51_bowlcut.png,4.89,5,perfect
/hd2/wangzichuan/AGIN/images/MagicBrush_2117.png,3.72,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_DB_108.png,4.44,4,good
/hd2/wangzichuan/AGIN/images/SD21_DB_122.png,4.06,4,good
/hd2/wangzichuan/AGIN/images/MagicBrush_884.png,4.33,4,good
/hd2/wangzichuan/AGIN/images/MagicBrush_2243.png,2.83,3,average
/hd2/wangzichuan/AGIN/images/DragDAN_38.png,4.11,4,good
/hd2/wangzichuan/AGIN/images/DiffuseIT_1_7_i_0_b_0.png,3.94,4,good
/hd2/wangzichuan/AGIN/images/Disentangled_70.png,4.11,4,good
/hd2/wangzichuan/AGIN/images/DragDAN_75.png,4.83,5,perfect
/hd2/wangzichuan/AGIN/images/SD15_real_electronics_prompt6.png,4.5,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_34_bowlcut.png,4.89,5,perfect
/hd2/wangzichuan/AGIN/images/OpenJ_coco_40.png,3.72,4,good
/hd2/wangzichuan/AGIN/images/SD15_DB_80.png,4.56,5,perfect
/hd2/wangzichuan/AGIN/images/RealV_DB_22.png,4.83,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_1_Hi-top.png,4.83,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_10_long_hair.png,4.89,5,perfect
/hd2/wangzichuan/AGIN/images/SD21_real_19.png,3.39,3,average
/hd2/wangzichuan/AGIN/images/OpenJ_real_8.png,3.5,4,good
/hd2/wangzichuan/AGIN/images/SD15_real_vehicles_prompt3.png,4.33,4,good
/hd2/wangzichuan/AGIN/images/StyleCLIP_17_beard.png,4.83,5,perfect
/hd2/wangzichuan/AGIN/images/StyleCLIP_59_bowlcut.png,4.83,5,perfect
/hd2/wangzichuan/AGIN/images/MagicBrush_9731.png,3.39,3,average
/hd2/wangzichuan/AGIN/images/SD15_DB_57.png,4.44,4,good
/hd2/wangzichuan/AGIN/images/RealV_DB_40.png,4.61,5,perfect
/hd2/wangzichuan/AGIN/images/RealV_real_artifacts_prompt3.png,4.56,5,perfect
/hd2/wangzichuan/AGIN/images/SD15_coco_408.png,4.78,5,perfect
/hd2/wangzichuan/AGIN/images/OpenJ_real_47.png,4.22,4,good
/hd2/wangzichuan/AGIN/images/SD21_DB_50.png,4.39,4,good
/hd2/wangzichuan/AGIN/images/PDNLA_gen_2.png,4.17,4,good
/hd2/wangzichuan/AGIN/images/SD15_coco_181.png,3.83,4,good
/hd2/wangzichuan/AGIN/images/Dreaml_DB_77.png,4.94,5,perfect
/hd2/wangzichuan/AGIN/images/SD15_coco_7.png,3.61,4,good
/hd2/wangzichuan/AGIN/images/MagicBrush_5102.png,4.33,4,good
